Year,ActionGeo_CountryCode,goldstein_score,tone
2021,TH,0.57,-2.37
2021,VT,1.55,-0.84
2021,BD,1.41,-0.46
2021,DR,0.92,-1.5
2021,TO,1.64,-1.06
2021,CF,0.11,-2.99
2021,NG,-0.99,-4.07
2021,CM,0.25,-2.85
2021,KG,0.9,-1.7
2021,NU,-0.33,-3.81
2021,UK,0.87,-1.45
2021,BO,0.06,-4.12
2021,ER,-0.31,-4.61
2021,MQ,-9,-5.84
2021,AN,1.93,0.25
2021,EI,1.07,-1
2021,OC,1.33,-0.13
2021,BU,1.35,-1.13
2021,FR,0.84,-1.71
2021,SP,0.99,-1.3
2021,EG,1.33,-1.52
2021,LO,1.08,-1.38
2021,CR,-5,-0.19
2021,MP,1.84,0.12
2021,PE,0.78,-2.25
2021,BY,0.81,-2.81
2021,FK,0.32,-1.32
2021,JE,0.82,-1.71
2021,MT,0.65,-1.84
2021,EC,0.36,-3.48
2021,MI,0.92,-1.55
2021,AO,1.6,-0.96
2021,GV,0.66,-2.49
2021,BH,0.62,-1.38
2021,KZ,1.84,-0.35
2021,ES,0.61,-2.66
2021,SV,1.26,-0.52
2021,DA,1.02,-1.16
2021,IS,-0.36,-3.1
2021,PO,1.3,-0.98
2021,RP,0.86,-1.3
2021,BL,0.51,-2.66
2021,BM,-1.83,-5.08
2021,HO,0.28,-3.52
2021,SI,1.67,-0.66
2021,OD,0.57,-2.22
2021,NS,1.71,-0.8
2021,RW,0.72,-2.69
2021,MA,1.48,-1.56
2021,FO,-0.48,-1.53
2021,NT,2.08,-1.13
2021,HQ,1.93,-0.99
2021,LT,0.44,-2.28
2021,CH,0.88,-1.62
2021,LS,1.76,-0.03
2021,FP,1.4,-1.04
2021,JO,1.13,-1.45
2021,PA,0.65,-1.91
2021,PS,2.21,-0.13
2021,MZ,0.06,-3.84
2021,AE,1.89,0.56
2021,LE,0.41,-3.01
2021,TI,1.45,-1.55
2021,HK,0.26,-2.7
2021,JA,1.29,-0.98
2021,CV,-0.22,-2.62
2021,CG,0.21,-3.31
2021,GH,0.93,-0.86
2021,BF,1.09,-1.07
2021,TX,2.29,0.69
2021,IO,0.68,-1.71
2021,WI,0.64,-2.02
2021,TZ,1.48,-0.92
2021,TT,1.02,-2.45
2021,FM,1.91,-0.41
2021,CI,0.86,-1.43
2021,JM,0.69,-1.26
2021,MG,2.05,0.6
2021,TN,1.35,-0.92
2021,MK,1.39,-1.12
2021,RO,1.37,-0.7
2021,MH,1.61,-0.26
2021,JQ,0.6,-2.74
2021,BR,0.76,-2.1
2021,BT,1.99,0.55
2021,KV,0.73,-1.89
2021,MF,1.61,-2.16
2021,FI,1.59,-0.79
2021,BX,1.36,-0.96
2021,AF,0.51,-3.04
2021,AU,1.56,-1.61
2021,GQ,1.18,-1.45
2021,SO,-0.47,-3.87
2021,MX,0.59,-2.36
2021,CJ,1.31,-1.16
2021,DJ,1.43,-1.02
2021,BP,1.02,-1.42
2021,IT,1.02,-1.21
2021,KR,0.89,-1.02
2021,BV,3.02,1.2
2021,KE,0.82,-1.79
2021,DO,0.91,-1.68
2021,TV,1.82,-0.36
2021,CW,2.29,-0.18
2020,BY,0.19,-3.64
2020,ID,0.85,-2.33
2020,DJ,1.06,-1.62
2020,TO,1.06,-1.77
2020,VC,1.26,-1.28
2020,NT,2.12,-1
2020,JE,0.86,-1.73
2020,HU,1.01,-1.92
2020,EN,1.7,-1.01
2020,AF,0.09,-3.37
2020,GR,0.84,-2.4
2020,DR,1.12,-1.47
2020,WQ,-1.01,-2.66
2020,FM,2.07,-0.23
2020,LI,0.9,-1.62
2020,PG,-0.77,-2.59
2020,CD,0.05,-3.48
2020,LO,0.5,-2.5
2020,GG,0.94,-1.73
2020,LH,1.07,-2.33
2020,KE,0.48,-2.53
2020,GP,1.1,-0.81
2020,BM,0.07,-2.87
2020,LG,1.34,-1.37
2020,CJ,1.61,-1.24
2020,RP,0.73,-2.22
2020,NR,1.99,-2.75
2020,NI,0.12,-2.49
2020,RI,1.24,-1.85
2020,OD,0.85,-2.28
2020,BX,0.87,-1.5
2020,FG,2.05,-1.09
2020,PK,0.08,-2.99
2020,TS,0.83,-2.65
2020,BH,0.65,-1.6
2020,HO,0.59,-3.68
2020,KS,1.12,-1.99
2020,SZ,1.37,-1.51
2020,AJ,-0.28,-3.58
2020,PA,1.07,-2.05
2020,BN,0.09,-2.14
2020,ER,0.31,-3.18
2020,TZ,0.96,-1.67
2020,GZ,-0.76,-3.81
2020,PM,0.8,-2.16
2020,CW,1.58,-0.33
2020,SN,1.47,-1.17
2020,JA,1.26,-1.54
2020,AQ,1.24,-0.44
2020,MX,0.41,-2.53
2020,AO,1.25,-1.61
2020,MV,1.75,-0.38
2020,MT,0.87,-2
2020,CE,0.96,-1.83
2020,GA,0.73,-1.91
2020,FI,1.51,-0.95
2020,MA,1.31,-0.72
2020,MD,1.68,-0.85
2020,GQ,1.03,-2.39
2020,GI,1.51,-0.53
2020,TL,3.26,0.43
2020,CB,1.12,-1.87
2020,CT,-0.02,-3.5
2020,HR,1.41,-1.57
2020,SO,-0.47,-3.78
2020,TI,0.73,-2.36
2020,LE,0.41,-3.69
2020,NZ,1.22,-1.08
2020,TV,3.04,0.76
2020,LA,1.57,-0.96
2020,UP,0.43,-3.1
2020,GT,0.38,-3.77
2020,IT,1.08,-2.02
2020,HQ,2.4,-0.51
2020,KZ,1.46,-1.42
2020,SC,2.05,1.26
2020,LU,1.86,-0.78
2020,MU,1.91,-0.28
2020,MN,1.12,-0.26
2020,WA,0.88,-2.19
2020,KG,1.01,-2.7
2020,PE,0.71,-2.68
2020,TT,1.49,-1.33
2020,DO,2.04,0.34
2020,LS,1.72,-0.55
2020,AG,0.63,-3.23
2020,CN,1.18,0
2020,RS,0.51,-3.08
2020,PS,1.74,-0.87
2020,EK,0.94,-1.97
2020,AM,-0.03,-3.39
2020,TX,1.89,0.33
2020,BL,0.57,-2.89
2020,SF,0.36,-2.8
2020,ET,0.61,-2.73
2020,GK,1.77,-0.6
2020,IC,1.31,-0.96
2020,FP,1.61,-1.66
2020,JN,2.38,-1.25
2020,BQ,-4.67,-1.9
2020,DA,1.26,-1.4
2020,CI,0.68,-2.16
2020,VT,1.54,-1.22
2020,CY,1.21,-2.11
2020,CM,-0.2,-3.7
2020,FQ,3.4,1.5
2020,TW,1.08,-1.54
2020,KN,0.21,-2.89
2020,MR,1.76,-2.42
2020,SV,1.19,-1.61
2020,VM,1.32,-1.13
2020,SU,0.98,-2.52
2020,ZA,1,-1.39
2020,NO,1.39,-1.2
2020,NG,-0.3,-3.93
2020,IM,0.45,-2.56
2020,EI,0.95,-1.26
2020,SA,0.72,-2.12
2020,TD,0.85,-1.48
2020,NE,2.79,-0.35
2020,CA,1.07,-1.46
2020,CO,0.45,-3.14
2020,BE,1.29,-1.76
2020,BP,1.15,-1.33
2020,AY,1.46,-0.72
2020,WZ,0.45,-2.35
2020,IO,1.41,-1.15
2020,NC,1.28,-1.03
2020,UY,1.54,-0.72
2020,GB,1.25,-1.11
2020,UV,-1.07,-4.95
2020,GL,1.19,-1
2020,NL,1.12,-1.42
2020,GJ,1.38,-0.59
2020,MO,1.63,-0.94
2020,RO,1.52,-1.13
2020,NH,2.05,-0.56
2020,FO,1.98,0.2
2020,AN,1.92,-0.11
2020,FJ,1.51,-1.07
2020,TU,0.46,-3.33
2020,JO,0.89,-1.86
2020,BG,0.76,-2.44
2020,OS,1.04,-1.84
2020,IN,0.42,-2.47
2020,EZ,1.08,-1.77
